rank,campus,state,IPEDS_UNITID,outreach_priority,market_opportunity,growth_momentum,growth_label,distribution_strength,business_bachelors,business_growth_5y,accounting_bachelors,undergrad_enrollment,greek_chapters,councils,estimated_intro1_annual,why,next_action
46,University of Utah Salt Lake,UT,230764,79.9,77.7,85.3,RAPID_GROWTH,PENDING,810,+24.8%,134,26827,NOT_RUN,,1944,"810 business grads/year (2024) • Business completions +25% over 5Y • Large undergrad population (26,827) • 134 accounting grads/year",Enrich structural data
47,Utah Tech University,UT,230171,65.2,57.3,85.1,RAPID_GROWTH,PENDING,197,+35.9%,38,12481,NOT_RUN,,473,197 business grads/year (2024) • Business completions +36% over 5Y,Enrich structural data
48,Louisiana St in Shreveport,LA,159416,60.9,51.3,85,RAPID_GROWTH,PENDING,181,+47.1%,16,2548,NOT_RUN,,434,181 business grads/year (2024) • Business completions +47% over 5Y • Business-heavy (43% of bachelor's),Backlog
49,Mississippi State University,MS,176080,80.4,80.8,84.3,RAPID_GROWTH,76.3,849,+36.7%,110,18230,43,IFC+MGC+NPHC+PANHELLENIC,2038,"849 business grads/year (2024) • Business completions +37% over 5Y • 43 social Greek chapters • Large undergrad population (18,230) • 110 accounting grads/year",Greek council enrichment
50,University of North Carolina Chapel,NC,199120,66.8,59.8,84.2,RAPID_GROWTH,PENDING,504,+20.3%,0,20681,NOT_RUN,,1210,"504 business grads/year (2024) • Business completions +20% over 5Y • Large undergrad population (20,681)",Enrich structural data
51,North Carolina State University,NC,199193,79.3,82.3,84.1,GROWING,69.6,1157,+26.6%,145,27323,34,IFC+MGC+PANHELLENIC,2777,"1,157 business grads/year (2024) • Business completions +27% over 5Y • 34 social Greek chapters • Large undergrad population (27,323) • 145 accounting grads/year",Greek council enrichment
52,Louisiana Tech University,LA,159647,72.3,68,83.1,GROWING,PENDING,321,+15.0%,60,10401,NOT_RUN,,770,321 business grads/year (2024) • Business completions +15% over 5Y • 60 accounting grads/year,Enrich structural data
53,Youngstown State University,OH,206695,67.6,61.6,82.6,GROWING,PENDING,285,+42.5%,50,8436,NOT_RUN,,684,285 business grads/year (2024) • Business completions +43% over 5Y,Enrich structural data
54,Virginia Poly Inst & St Un,VA,233921,88.4,90.9,82.3,GROWING,PENDING,1723,+23.4%,128,30504,NOT_RUN,,4135,"1,723 business grads/year (2024) • Business completions +23% over 5Y • Large undergrad population (30,504) • 128 accounting grads/year",Enrich structural data
55,Susquehanna University,PA,216278,57.4,47.5,82.1,GROWING,PENDING,155,+19.2%,27,2241,NOT_RUN,,372,155 business grads/year (2024) • Business completions +19% over 5Y • Business-heavy (30% of bachelor's),Backlog
56,Prairie View A&M University,TX,227526,59.6,50.7,81.9,GROWING,PENDING,199,+59.2%,11,8527,NOT_RUN,,478,199 business grads/year (2024) • Business completions +59% over 5Y,Backlog
57,Uof California-Berkeley,CA,110635,65.4,59,81.3,GROWING,PENDING,425,+23.5%,0,33078,NOT_RUN,,1020,"425 business grads/year (2024) • Business completions +24% over 5Y • Large undergrad population (33,078)",Enrich structural data
58,Texas A&M - Corpus Christi Corp,TX,224147,72.2,68.8,80.8,GROWING,PENDING,354,+27.8%,66,7822,NOT_RUN,,850,354 business grads/year (2024) • Business completions +28% over 5Y • 66 accounting grads/year,Enrich structural data
59,Aurora University,IL,143118,65.7,59.7,80.7,GROWING,PENDING,307,+24.3%,26,4098,NOT_RUN,,737,307 business grads/year (2024) • Business completions +24% over 5Y,Enrich structural data
60,New York University,NY,193900,59.2,64.1,80.7,GROWING,32.1,1016,+22.3%,0,29760,16,IFC+PANHELLENIC,2438,"1,016 business grads/year (2024) • Business completions +22% over 5Y • 16 social Greek chapters • Large undergrad population (29,760)",Research + intro outreach
61,Boston College Chestnut,MA,164924,78.6,77.8,80.6,GROWING,PENDING,566,+13.2%,127,10083,NOT_RUN,,1358,566 business grads/year (2024) • Business completions +13% over 5Y • 127 accounting grads/year,Enrich structural data
62,IUSB Indiana Uat South Bend South,IN,151342,56.3,46.7,80.4,GROWING,PENDING,169,+4.3%,0,3918,NOT_RUN,,406,169 business grads/year (2024) • Business completions +4% over 5Y,Backlog
63,Samford University,AL,102049,57.2,48.1,80.1,GROWING,PENDING,171,+23.0%,27,3832,NOT_RUN,,410,171 business grads/year (2024) • Business completions +23% over 5Y,Backlog
64,University of South Dakota,SD,219471,65.7,60.1,79.7,GROWING,PENDING,220,+10.0%,56,7095,NOT_RUN,,528,220 business grads/year (2024) • Business completions +10% over 5Y,Enrich structural data
65,Jacksonville State University,AL,101480,53.8,50.2,79.7,GROWING,40.2,197,+26.3%,27,8378,20,IFC+NPHC+PANHELLENIC,473,197 business grads/year (2024) • Business completions +26% over 5Y • 20 social Greek chapters,Greek council enrichment
66,University of Georgia,GA,139959,88.5,95.3,79.2,GROWING,82.5,2331,+19.6%,156,31514,67,IFC+MGC+NPHC+PANHELLENIC,5594,"2,331 business grads/year (2024) • Business completions +20% over 5Y • 67 social Greek chapters • IFC + MGC + NPHC + PANHELLENIC contacts verified • Large undergrad population (31,514)",Council outreach
67,Franklin University,OH,202806,81.1,81.9,79.2,GROWING,PENDING,895,+28.8%,150,5815,NOT_RUN,,2148,895 business grads/year (2024) • Business completions +29% over 5Y • 150 accounting grads/year • Business-heavy (56% of bachelor's),Enrich structural data
68,Lamar University,TX,226091,50.8,48.9,79.1,GROWING,32.1,267,+24.8%,0,7998,16,IFC+NPHC+PANHELLENIC,641,267 business grads/year (2024) • Business completions +25% over 5Y • 16 social Greek chapters,Backlog
69,University of South Florida,FL,137351,81.3,85.9,78.9,GROWING,74.1,1704,+28.5%,253,37269,39,IFC+MGC+NPHC+PANHELLENIC,4090,"1,704 business grads/year (2024) • Business completions +29% over 5Y • 39 social Greek chapters • Large undergrad population (37,269) • 253 accounting grads/year",Greek council enrichment
70,University of Colorado Boulder,CO,126614,61.4,69,78.9,GROWING,32.1,1147,+15.5%,0,32105,16,IFC+PANHELLENIC,2753,"1,147 business grads/year (2024) • Business completions +16% over 5Y • 16 social Greek chapters • Large undergrad population (32,105)",Research + intro outreach
71,Stonehill College,MA,167996,60.6,53.3,78.7,GROWING,PENDING,194,+10.2%,31,2515,NOT_RUN,,466,194 business grads/year (2024) • Business completions +10% over 5Y • Business-heavy (33% of bachelor's),Backlog
72,Saint Mary's College of CA,CA,123554,59.9,52.4,78.6,GROWING,PENDING,220,+23.6%,18,2044,NOT_RUN,,528,220 business grads/year (2024) • Business completions +24% over 5Y • Business-heavy (33% of bachelor's),Backlog
73,Western Carolina University,NC,200004,73.1,71.2,77.9,GROWING,PENDING,527,+17.4%,30,10009,NOT_RUN,,1265,527 business grads/year (2024) • Business completions +17% over 5Y,Enrich structural data
74,Mercer University-Macon,GA,140447,59.2,51.8,77.8,GROWING,PENDING,210,+14.8%,29,4807,NOT_RUN,,504,210 business grads/year (2024) • Business completions +15% over 5Y,Backlog
75,New Jersey In of Technology,NJ,185828,46,33.3,77.6,GROWING,PENDING,101,+9.8%,0,9523,NOT_RUN,,242,101 business grads/year (2024) • Business completions +10% over 5Y,Backlog
76,University of Arkansas,AR,106397,85.8,91.4,77.3,GROWING,81.3,1475,+10.1%,142,27472,47,IFC+MGC+NPHC+PANHELLENIC,3540,"1,475 business grads/year (2024) • Business completions +10% over 5Y • 47 social Greek chapters • Large undergrad population (27,472) • 142 accounting grads/year",Greek council enrichment
77,Tennessee Technological Un,TN,221847,66.8,62.6,77.2,GROWING,PENDING,312,+13.0%,56,8838,NOT_RUN,,749,312 business grads/year (2024) • Business completions +13% over 5Y,Enrich structural data
78,University at Albany-SUNY,NY,196060,70.5,68,76.9,GROWING,PENDING,435,+7.4%,94,12190,NOT_RUN,,1044,435 business grads/year (2024) • Business completions +7% over 5Y • 94 accounting grads/year,Enrich structural data
79,Wayne State University,MI,172644,81.5,83.4,76.6,GROWING,PENDING,867,+20.9%,109,16117,NOT_RUN,,2081,"867 business grads/year (2024) • Business completions +21% over 5Y • Large undergrad population (16,117) • 109 accounting grads/year",Enrich structural data
80,University of Florida,FL,134130,85.9,84.6,76.3,GROWING,96,1284,+8.2%,145,34924,63,IFC+MGC+NPHC+PANHELLENIC,3082,"1,284 business grads/year (2024) • Business completions +8% over 5Y • 63 social Greek chapters • Large undergrad population (34,924) • 145 accounting grads/year",Greek council enrichment
81,Virginia State University,VA,234155,51.5,41.7,76,GROWING,PENDING,117,+2.6%,15,4829,NOT_RUN,,281,117 business grads/year (2024) • Business completions +3% over 5Y,Backlog
82,Un of Massachusetts Amherst,MA,166629,81,83.1,75.9,GROWING,PENDING,1093,+9.7%,133,23936,NOT_RUN,,2623,"1,093 business grads/year (2024) • Business completions +10% over 5Y • Large undergrad population (23,936) • 133 accounting grads/year",Enrich structural data
83,Northwest Missouri St Univ,MO,178624,56.8,49.2,75.8,GROWING,PENDING,185,+25.9%,25,5599,NOT_RUN,,444,185 business grads/year (2024) • Business completions +26% over 5Y,Backlog
84,Pittsburg State University,KS,155681,64.3,59.8,75.7,GROWING,PENDING,261,+9.2%,36,4426,NOT_RUN,,626,261 business grads/year (2024) • Business completions +9% over 5Y,Enrich structural data
85,Dalton State College,GA,139463,62.6,57.4,75.7,GROWING,PENDING,181,+10.4%,32,4902,NOT_RUN,,434,181 business grads/year (2024) • Business completions +10% over 5Y • Business-heavy (33% of bachelor's),Enrich structural data
86,University of Delaware,DE,130943,83.9,84.6,75.5,GROWING,89.3,914,+7.1%,74,19772,53,IFC+MGC+NPHC+PANHELLENIC,2194,"914 business grads/year (2024) • Business completions +7% over 5Y • 53 social Greek chapters • Large undergrad population (19,772) • 74 accounting grads/year",Greek council enrichment
87,University of South Carolina,SC,218645,65.6,47.5,75.2,GROWING,94.2,134,+10.7%,0,3109,58,IFC+MGC+NPHC+PANHELLENIC,322,134 business grads/year (2024) • Business completions +11% over 5Y • 58 social Greek chapters • SEC school (priority Greek/football market),Greek council enrichment
88,Florida Atlantic University,FL,133669,75.3,84.9,75.1,GROWING,56.3,1389,+11.6%,205,24614,27,IFC+MGC+NPHC+PANHELLENIC,3334,"1,389 business grads/year (2024) • Business completions +12% over 5Y • 27 social Greek chapters • Large undergrad population (24,614) • 205 accounting grads/year",Greek council enrichment
89,West Texas A&M University,TX,229814,65.8,62.3,74.7,GROWING,PENDING,328,+4.1%,33,6786,NOT_RUN,,787,328 business grads/year (2024) • Business completions +4% over 5Y,Enrich structural data
90,University of West Florida,FL,138354,63.2,58.6,74.6,GROWING,PENDING,285,+8.0%,56,9661,NOT_RUN,,684,285 business grads/year (2024) • Business completions +8% over 5Y,Enrich structural data
91,Syracuse University,NY,196413,71.9,68.2,74.4,GROWING,77.2,450,+26.4%,45,15739,44,IFC+MGC+NPHC+PANHELLENIC,1080,"450 business grads/year (2024) • Business completions +26% over 5Y • 44 social Greek chapters • Large undergrad population (15,739)",Greek council enrichment
92,Uof Missouri - Columbia,MO,178396,75.8,76.4,74.3,GROWING,PENDING,1160,+12.6%,0,23613,NOT_RUN,,2784,"1,160 business grads/year (2024) • Business completions +13% over 5Y • Large undergrad population (23,613)",Enrich structural data
93,North Park University,IL,147679,47.8,37.3,73.9,GROWING,PENDING,113,+9.7%,0,1876,NOT_RUN,,271,113 business grads/year (2024) • Business completions +10% over 5Y • Business-heavy (31% of bachelor's),Backlog
94,Bowling Green State Univ Bowling,OH,201441,69.3,67.5,73.7,GROWING,PENDING,424,+4.7%,78,14014,NOT_RUN,,1018,"424 business grads/year (2024) • Business completions +5% over 5Y • Large undergrad population (14,014) • 78 accounting grads/year",Enrich structural data
95,Tarleton State University,TX,228529,75,75.5,73.6,GROWING,PENDING,558,+9.8%,80,13688,NOT_RUN,,1339,"558 business grads/year (2024) • Business completions +10% over 5Y • Large undergrad population (13,688) • 80 accounting grads/year",Enrich structural data
96,University of Miami,FL,135726,73.4,75.4,73.1,GROWING,69.6,611,+10.9%,46,12883,34,IFC+MGC+NPHC+PANHELLENIC,1466,"611 business grads/year (2024) • Business completions +11% over 5Y • 34 social Greek chapters • Large undergrad population (12,883)",Greek council enrichment
97,Brigham Young University,UT,230038,77.3,79.1,72.9,GROWING,PENDING,1015,+12.0%,46,32221,NOT_RUN,,2436,"1,015 business grads/year (2024) • Business completions +12% over 5Y • Large undergrad population (32,221)",Enrich structural data
98,"Calif State Univ, Sacramento",CA,110617,70.3,69.5,72.4,GROWING,PENDING,996,+5.6%,0,28268,NOT_RUN,,2390,"996 business grads/year (2024) • Business completions +6% over 5Y • Large undergrad population (28,268)",Enrich structural data
99,Northeastern University,MA,167358,69.5,73.8,72,GROWING,58.9,1082,+8.3%,0,15891,29,IFC+MGC+NPHC+PANHELLENIC,2597,"1,082 business grads/year (2024) • Business completions +8% over 5Y • 29 social Greek chapters • Large undergrad population (15,891)",Greek council enrichment
100,East Carolina University,NC,198464,54.5,72.4,71.8,GROWING,4.8,944,+7.9%,74,21328,1,IFC,2266,"944 business grads/year (2024) • Business completions +8% over 5Y • 1 social Greek chapters • Large undergrad population (21,328) • 74 accounting grads/year",Research + intro outreach
