rank,campus,state,IPEDS_UNITID,outreach_priority,market_opportunity,growth_momentum,growth_label,distribution_strength,business_bachelors,business_growth_5y,accounting_bachelors,undergrad_enrollment,greek_chapters,councils,estimated_intro1_annual,why,next_action
31,University of Illinois Chicago,IL,145600,73.7,80.9,87.5,RAPID_GROWTH,48.4,900,+31.4%,206,22107,28,IFC+MGC+NPHC+PANHELLENIC,2160,"900 business grads/year (2024) • Business completions +31% over 5Y • 28 social Greek chapters • Large undergrad population (22,107) • 206 accounting grads/year",Greek council enrichment
32,Florida International University,FL,133951,73.3,92.6,48.3,STABLE,54.7,2726,-2.3%,165,44363,34,IFC+MGC+NPHC+PANHELLENIC,6542,"2,726 business grads/year (2024) • Business completions -2% over 5Y • 34 social Greek chapters • Large undergrad population (44,363) • 165 accounting grads/year",Greek council enrichment
33,University of Southern California,CA,123961,72.8,81.8,61,GROWING,64.1,1346,+4.6%,0,21023,55,IFC+MGC+NPHC+PANHELLENIC,3230,"1,346 business grads/year (2024) • Business completions +5% over 5Y • 55 social Greek chapters • Large undergrad population (21,023)",Greek council enrichment
34,California State Polytechnic University-Pomona,CA,110529,72.3,82.7,46.3,STABLE,PENDING,1514,+2.2%,0,24455,NOT_RUN,,3634,"1,514 business grads/year (2024) • Business completions +2% over 5Y • Large undergrad population (24,455) • Business-heavy (26% of bachelor's)",Enrich structural data
35,University of North Carolina at Charlotte,NC,199139,71.9,84.3,64,GROWING,53.6,1085,-0.6%,139,23981,33,IFC+NPHC+PANHELLENIC,2604,"1,085 business grads/year (2024) • Business completions -1% over 5Y • 33 social Greek chapters • Large undergrad population (23,981) • 139 accounting grads/year",Greek council enrichment
36,George Mason University,VA,232186,71.8,84.1,61.4,GROWING,55.5,1163,+10.3%,43,27666,35,IFC+MGC+NPHC+PANHELLENIC,2791,"1,163 business grads/year (2024) • Business completions +10% over 5Y • 35 social Greek chapters • Large undergrad population (27,666)",Greek council enrichment
37,James Madison University,VA,232423,71.4,76.5,50.7,STABLE,77.9,652,-11.7%,90,21006,46,IFC+MGC+NPHC+PANHELLENIC,1565,"652 business grads/year (2024) • Business completions -12% over 5Y • 46 social Greek chapters • IFC + MGC + NPHC + PANHELLENIC contacts verified • Large undergrad population (21,006)",Council outreach
38,University of California-Riverside,CA,110671,69.2,69.6,68.1,GROWING,PENDING,815,+11.5%,0,22646,NOT_RUN,,1956,"815 business grads/year (2024) • Business completions +11% over 5Y • Large undergrad population (22,646)",Enrich structural data
39,Binghamton University,NY,196079,69.2,73.5,69.7,GROWING,60.1,525,+5.9%,121,14409,49,IFC+MGC+NPHC+PANHELLENIC,1260,"525 business grads/year (2024) • Business completions +6% over 5Y • 49 social Greek chapters • Large undergrad population (14,409) • 121 accounting grads/year",Greek council enrichment
40,Texas A&M University,TX,459949,69.1,73.8,58.6,STABLE,68.1,334,-5.7%,64,6706,63,IFC+MGC+NPHC+PANHELLENIC,802,334 business grads/year (2024) • Business completions -6% over 5Y • 63 social Greek chapters • 64 accounting grads/year • Business-heavy (27% of bachelor's),Greek council enrichment
