rank,campus,state,IPEDS_UNITID,outreach_priority,market_opportunity,growth_momentum,growth_label,distribution_strength,business_bachelors,business_growth_5y,accounting_bachelors,undergrad_enrollment,greek_chapters,councils,estimated_intro1_annual,why,next_action
78,University of Illinois,IL,145637,65.7,77.2,37,DECLINING,PENDING,830,-22.2%,241,35564,NOT_RUN,,1992,"830 business grads/year (2024) • Business completions -22% over 5Y • Large undergrad population (35,564) • 241 accounting grads/year",Enrich structural data
79,University of St. Thomas-MN St.,MN,174914,71.1,77,56.5,STABLE,PENDING,607,-3.6%,53,6044,NOT_RUN,,1457,607 business grads/year (2024) • Business completions -4% over 5Y • Business-heavy (43% of bachelor's),Enrich structural data
80,Oregon State University,OR,209542,72.6,76.9,51,STABLE,81.3,843,-9.9%,55,30021,47,IFC+MGC+NPHC+PANHELLENIC,2023,"843 business grads/year (2024) • Business completions -10% over 5Y • 47 social Greek chapters • Large undergrad population (30,021)",Greek council enrichment
81,University of Arizona,AZ,104179,64,76.8,66.6,GROWING,36.2,1159,-4.3%,139,41899,17,IFC+MGC+PANHELLENIC,2782,"1,159 business grads/year (2024) • Business completions -4% over 5Y • 17 social Greek chapters • Large undergrad population (41,899) • 139 accounting grads/year",Research + intro outreach
82,Northern Arizona University,AZ,105330,63,76.5,29.4,DECLINING,PENDING,790,-27.2%,60,23128,NOT_RUN,,1896,"790 business grads/year (2024) • Business completions -27% over 5Y • Large undergrad population (23,128) • 60 accounting grads/year",Enrich structural data
83,Uof Missouri - Columbia,MO,178396,75.8,76.4,74.3,GROWING,PENDING,1160,+12.6%,0,23613,NOT_RUN,,2784,"1,160 business grads/year (2024) • Business completions +13% over 5Y • Large undergrad population (23,613)",Enrich structural data
84,Metropolitan St Univ Denver,CO,127565,63.7,76.2,32.4,DECLINING,PENDING,509,-23.3%,100,16430,NOT_RUN,,1222,"509 business grads/year (2024) • Business completions -23% over 5Y • Large undergrad population (16,430) • 100 accounting grads/year",Enrich structural data
85,Miami Dade College Virtual Campu,FL,135717,66,76.1,40.7,STABLE,PENDING,435,-9.4%,0,39139,NOT_RUN,,1044,"435 business grads/year (2024) • Business completions -9% over 5Y • Large undergrad population (39,139) • Business-heavy (37% of bachelor's)",Enrich structural data
86,Portland State University,OR,209807,58.7,76,15.4,DECLINING,PENDING,591,-38.0%,119,15960,NOT_RUN,,1418,"591 business grads/year (2024) • Business completions -38% over 5Y • Large undergrad population (15,960) • 119 accounting grads/year",Enrich structural data
87,Tarleton State University,TX,228529,75,75.5,73.6,GROWING,PENDING,558,+9.8%,80,13688,NOT_RUN,,1339,"558 business grads/year (2024) • Business completions +10% over 5Y • Large undergrad population (13,688) • 80 accounting grads/year",Enrich structural data
88,University of Miami,FL,135726,73.4,75.4,73.1,GROWING,69.6,611,+10.9%,46,12883,34,IFC+MGC+NPHC+PANHELLENIC,1466,"611 business grads/year (2024) • Business completions +11% over 5Y • 34 social Greek chapters • Large undergrad population (12,883)",Greek council enrichment
89,"Calif State Univ, Long Beach Long",CA,110583,69.9,75.2,56.5,STABLE,PENDING,1399,-3.1%,0,34243,NOT_RUN,,3358,"1,399 business grads/year (2024) • Business completions -3% over 5Y • Large undergrad population (34,243)",Enrich structural data
90,James Madison University,VA,232423,70.1,75.1,51.2,STABLE,75.4,652,-11.7%,90,21006,46,IFC+MGC+NPHC+PANHELLENIC,1565,"652 business grads/year (2024) • Business completions -12% over 5Y • 46 social Greek chapters • IFC + MGC + NPHC + PANHELLENIC contacts verified • Large undergrad population (21,006)",Council outreach
91,The University of Texas at Arlington,TX,228769,58,75,35.5,DECLINING,42,1062,-22.0%,116,31112,21,IFC+MGC+NPHC+PANHELLENIC,2549,"1,062 business grads/year (2024) • Business completions -22% over 5Y • 21 social Greek chapters • Large undergrad population (31,112) • 116 accounting grads/year",Greek council enrichment
92,University of Illinois Chicago,IL,145600,66.2,74.9,87.3,RAPID_GROWTH,32.1,900,+31.4%,206,22107,16,IFC+MGC+NPHC+PANHELLENIC,2160,"900 business grads/year (2024) • Business completions +31% over 5Y • 16 social Greek chapters • Large undergrad population (22,107) • 206 accounting grads/year",Research + intro outreach
93,Central Michigan University Mt.,MI,169248,56.1,74.9,9,DECLINING,PENDING,540,-49.6%,49,10055,NOT_RUN,,1296,540 business grads/year (2024) • Business completions -50% over 5Y,Enrich structural data
94,University of North Georgia,GA,482680,69.2,74.7,55.6,STABLE,PENDING,457,-1.7%,63,17242,NOT_RUN,,1097,"457 business grads/year (2024) • Business completions -2% over 5Y • Large undergrad population (17,242) • 63 accounting grads/year",Enrich structural data
95,Chapman University,CA,111948,70.9,74.6,61.6,GROWING,PENDING,560,+13.6%,27,7874,NOT_RUN,,1344,560 business grads/year (2024) • Business completions +14% over 5Y • Business-heavy (31% of bachelor's),Enrich structural data
96,Western Kentucky University,KY,157951,69.9,74.6,62.6,GROWING,66.5,550,-1.4%,56,14590,33,IFC+NPHC+PANHELLENIC,1320,"550 business grads/year (2024) • Business completions -1% over 5Y • 33 social Greek chapters • Large undergrad population (14,590)",Greek council enrichment
97,University of Memphis,TN,220862,67.7,74.6,50.6,STABLE,PENDING,533,-7.6%,69,16771,NOT_RUN,,1279,"533 business grads/year (2024) • Business completions -8% over 5Y • Large undergrad population (16,771) • 69 accounting grads/year",Enrich structural data
98,Uof Alabama at Birmingham,AL,100663,73.5,74.4,71.1,GROWING,PENDING,543,+15.8%,113,12382,NOT_RUN,,1303,543 business grads/year (2024) • Business completions +16% over 5Y • 113 accounting grads/year,Enrich structural data
99,University of Dayton,OH,202480,68.4,74.4,53.5,STABLE,PENDING,513,-3.4%,55,8176,NOT_RUN,,1231,513 business grads/year (2024) • Business completions -3% over 5Y • Business-heavy (26% of bachelor's),Enrich structural data
100,Sam Houston State University,TX,227881,62.4,74.2,37.3,DECLINING,58.9,673,-22.8%,99,18179,29,IFC+MGC+NPHC+PANHELLENIC,1615,"673 business grads/year (2024) • Business completions -23% over 5Y • 29 social Greek chapters • Large undergrad population (18,179) • 99 accounting grads/year",Greek council enrichment
