chapter_id,campus,chapter,council,legal_entity_status,legal_entity_count,local_entity_count,local_entity_found,house_corporation_found,foundation_found,national_parent_found,alumni_corp_found,latest_990_year,officer_count_latest_filing,director_count_latest_filing,latest_reported_president,latest_reported_treasurer,latest_revenue,latest_expenses,latest_assets,latest_liabilities,alumni_governance_strength,data_confidence
77e0a574-d96c-460b-96c6-ab1724a918e6,University of Georgia,Alpha Kappa Alpha,NPHC,NEEDS_REVIEW,1,0,false,false,false,true,false,2023,0,0,,,45276043,47246171,78704412,25926573,LIGHT,NATIONAL_ONLY
7a34ab8f-0d8e-4bec-8102-e6be3c66444a,University of Arkansas,Sigma Gamma Rho,NPHC,ENTITY_MATCHED,2,1,true,false,false,true,false,2023,0,0,,,13810784,14676025,5801135,4995240,LIGHT,HIGH
7d49cf00-3d09-4a50-a2f0-5d840bf7e12e,University of Florida,Pi Kappa Phi,IFC,ENTITY_MATCHED,2,1,true,false,false,true,false,2024,0,0,,,301832,301832,0,0,LIGHT,HIGH
8169a044-62a7-49e7-8fe5-e5a56a11bf54,University of Florida,Beta Theta Pi,IFC,ENTITY_MATCHED,2,1,true,false,false,true,false,2023,0,0,,,648484,640839,18025,0,LIGHT,HIGH
8e9e0957-2299-4b7e-b624-4fa8cd1c6a1c,University of Arkansas,Alpha Kappa Delta Phi,MGC,NO_ENTITY_FOUND,0,0,false,false,false,false,false,,0,0,,,,,,,UNKNOWN,NONE
8fd4a829-f954-4643-938b-c19066e61a1e,University of Florida,Alpha Epsilon Pi,IFC,ENTITY_MATCHED,2,1,true,false,false,true,false,2023,4,4,BRADLEY FINE,JASON SNYTTE,853498,821965,83932,0,LIGHT,HIGH
903f8e66-7679-46a3-9059-452b4c7d3d4f,University of Florida,Pi Kappa Alpha,IFC,ENTITY_MATCHED,2,1,true,false,false,true,false,2024,0,0,,,0,0,1,0,LIGHT,HIGH
a17243f9-c06b-4787-be05-7ad0e552afa2,University of Florida,Delta Chi,IFC,NEEDS_REVIEW,1,0,false,false,false,true,false,2023,0,0,,,4512794,8407611,10805747,2221386,LIGHT,NATIONAL_ONLY
aab325a3-cc94-4bdb-a75e-bc5059f7129e,University of Georgia,Kappa Delta,Panhellenic,ENTITY_MATCHED,3,2,true,true,false,true,false,2024,0,0,,,454720,467786,188529,18681,MODERATE,HIGH
04a9896a-3441-455c-aa85-09921c8bb8ce,Louisiana State University,Alpha Gamma Rho,IFC,ENTITY_MATCHED,2,1,true,false,false,true,false,2024,0,0,,,1786541,2798515,4372490,1522014,LIGHT,HIGH
08417fd2-85c1-4f72-a53e-edaaa7027a78,University of Florida,Sigma Phi Epsilon,IFC,ENTITY_MATCHED,2,1,false,false,false,true,true,2023,0,0,,,489105,533339,3556703,1440793,LIGHT,HIGH
0c8ff0dd-26c4-4b67-9899-e6e2ec1ce0d3,University of Georgia,Alpha Delta Pi,Panhellenic,NEEDS_REVIEW,1,0,false,false,false,true,false,2023,8,11,DAWN VICTOR-HERRING,,6464144,4988932,18574229,1900417,LIGHT,NATIONAL_ONLY
188f4385-e720-4398-a929-93c6772992b1,University of Florida,Sigma Chi,IFC,ENTITY_MATCHED,2,1,true,false,false,true,false,2023,0,0,,,299499,301920,1404,0,LIGHT,HIGH
282f58ea-c129-4b98-b961-ba971f3ac940,University of Georgia,Sigma Gamma Rho,NPHC,ENTITY_MATCHED,3,2,true,false,false,true,false,2023,0,0,,,13810784,14676025,5801135,4995240,LIGHT,HIGH
2a7e8ded-3de3-4060-96c4-ff3ff60fd6d6,University of Florida,Alpha Gamma Rho,IFC,ENTITY_MATCHED,2,1,true,false,false,true,false,2024,2,0,,,570409,516668,74348,75,LIGHT,HIGH
