ein,legal_name,entity_type,tax_year,form_type,rich_filing_available,total_revenue,total_expenses,total_assets,total_liabilities,net_assets,source
237229883,MISSISSIPPI ALPHA CHAPTER HOUSE CORPORATION OF PHI DELTA THETA FRA,HOUSE_CORPORATION,2018,990,true,143966,182430,1705941,605104,1100837,PROPUBLICA_API
570811123,ETA GAMMA CHAPTER OF CHI OMEGA FRATERNITY HOUSING CORPORATION,HOUSE_CORPORATION,2018,990,true,1098545,646954,5025244,0,5025244,PROPUBLICA_API
237160987,TAU OF CHI OMEGA FRATERNITY HOUSE CORPORATION,HOUSE_CORPORATION,2018,990,true,1636014,1186220,4474444,42679,4431765,PROPUBLICA_API
237432869,MISSISSIPPI GAMMA HOUSE ASSN OF SIGMA ALPHA EPSILON,HOUSE_CORPORATION,2018,990,true,153509,26909,727241,0,727241,PROPUBLICA_API
640315254,SIGMA ALPHA EPSILON FRATERNITY,LOCAL_CHAPTER_ENTITY,2018,990,true,269384,443854,124271,760,123511,PROPUBLICA_API
640412138,ALPHA TAU OMEGA FRATERNITY,LOCAL_CHAPTER_ENTITY,2018,990,true,1027072,1044179,26390,2478,23912,PROPUBLICA_API
208655786,GAMMA CHI CHAPTER OF THE ALPHA EPSILON PI CHAPTER,LOCAL_CHAPTER_ENTITY,2018,990N,false,,,,,,PROPUBLICA_API
582279145,RHO CHAPTER KAPPA ALPHA HOUSING CORPORATION,HOUSE_CORPORATION,2018,990,true,359974,309704,862038,157176,704862,PROPUBLICA_API
576033531,PI KAPPA PHI FRATERNITY,LOCAL_CHAPTER_ENTITY,2018,990,true,255323,194300,80116,0,80116,PROPUBLICA_API
640308935,PHI DELTA THETA FRATERNITY,LOCAL_CHAPTER_ENTITY,2018,990,true,1104446,1042054,1202494,190366,1012128,PROPUBLICA_API
576033523,KAPPA ALPHA ORDER,UNKNOWN,2018,990,true,239324,231872,23327,0,23327,PROPUBLICA_API
