ein,legal_name,entity_type,entity_type_confidence,city,state,zip,irs_subsection,ntee_code,affiliation_code,group_exemption_number,asset_amt,income_amt,source
310851686,CHI OMEGA FRATERNITY,NATIONAL_PARENT,HIGH,MEMPHIS,TN,38125-8863,07,,6,0273,3557461,12736738,IRS_EO_BMF
221281800,SIGMA PI FRATERNITY INTERNATIONAL,NATIONAL_PARENT,HIGH,SMYRNA,TN,37167-6493,07,,6,0251,2626955,3585590,IRS_EO_BMF
381543609,SIGMA ALPHA IOTA FRATERNITY,NATIONAL_PARENT,HIGH,ASHEVILLE,NC,28805-1229,07,,6,0914,767070,779555,IRS_EO_BMF
350141875,ALPHA CHI OMEGA FRATERNITY INC,NATIONAL_PARENT,HIGH,INDIANAPOLIS,IN,46250-4304,07,,6,0467,36511094,26633185,IRS_EO_BMF
430765719,THETA TAU,NATIONAL_PARENT,HIGH,SPRINGFIELD,MO,65807-6152,07,B83,6,5817,4851999,1611421,IRS_EO_BMF
362362161,PHI KAPPA PSI FRATERNITY,NATIONAL_PARENT,HIGH,INDIANAPOLIS,IN,46226-1415,07,,6,0301,3906973,4093954,IRS_EO_BMF
221550561,ALPHA GAMMA DELTA FRATERNITY,NATIONAL_PARENT,HIGH,INDIANAPOLIS,IN,46260-2331,07,B83,6,0416,12815524,6421649,IRS_EO_BMF
210577978,THETA CHI FRATERNITY INC,NATIONAL_PARENT,HIGH,CARMEL,IN,46032-5880,07,,6,0241,1910529,8185913,IRS_EO_BMF
131306360,SIGMA ALPHA MU FRATERNITY INC,NATIONAL_PARENT,HIGH,INDIANAPOLIS,IN,46268-1338,07,,6,0387,9471642,11293585,IRS_EO_BMF
382900287,PHI SIGMA RHO NATIONAL SORORITY,NATIONAL_PARENT,HIGH,INDEPENDENCE,OH,44131-5038,07,B83,6,5641,639569,663172,IRS_EO_BMF
314164901,DELTA GAMMA FRATERNITY,NATIONAL_PARENT,HIGH,UPPER ARLNGTN,OH,43221-1725,07,,6,0461,19294601,10701931,IRS_EO_BMF
620533776,PHI MU FRATERNITY,NATIONAL_PARENT,HIGH,PEACHTREE CTY,GA,30269-1482,07,,6,0763,,,IRS_EO_BMF
530125862,PHI GAMMA DELTA FRATERNITY,NATIONAL_PARENT,HIGH,LEXINGTON,KY,40504-2648,07,,6,0204,16530720,5634282,IRS_EO_BMF
430549670,THETA XI FRATERNITY,NATIONAL_PARENT,HIGH,ATLANTA,GA,30303-1202,07,,6,0277,3094852,1593002,IRS_EO_BMF
730593444,KAPPA KAPPA PSI FRATERNITY,NATIONAL_PARENT,HIGH,STILLWATER,OK,74076-0849,03,B83Z,6,2752,1625564,1041720,IRS_EO_BMF
362077508,ALPHA PHI INTERNATIONAL FRATERNITY INC,NATIONAL_PARENT,HIGH,DENVER,CO,80210-4207,07,,6,1038,72878004,24507352,IRS_EO_BMF
430689936,SIGMA TAU GAMMA FRATERNITY,NATIONAL_PARENT,HIGH,CARMEL,IN,46032-0000,07,,6,1079,3035705,3064843,IRS_EO_BMF
350459180,LAMBDA CHI ALPHA FRATERNITY INC,NATIONAL_PARENT,HIGH,CARMEL,IN,46032-3364,07,,6,0293,4952370,9596042,IRS_EO_BMF
131496630,ZETA PSI FRATERNITY OF NORTH AMERICA,NATIONAL_PARENT,HIGH,PEARL RIVER,NY,10965-2603,07,,6,0276,518710,1478328,IRS_EO_BMF
361773950,SIGMA ALPHA EPSILON FRATERNITY,NATIONAL_PARENT,HIGH,EVANSTON,IL,60201-3837,07,,6,0228,,,IRS_EO_BMF
131714532,KAPPA SIGMA FRATERNITY,NATIONAL_PARENT,HIGH,CHARLOTTESVLE,VA,22902-7108,07,,6,0262,8362877,9000439,IRS_EO_BMF
580191430,CHI PHI FRATERNITY INC,NATIONAL_PARENT,HIGH,ROSWELL,GA,30075-2211,07,,6,0409,2252848,1830367,IRS_EO_BMF
