priority,campus_id,campus,state,reason,detail,status
2,1d6d2c96-2d39-4387-ad42-b0172a297eae,Utah Tech University,UT,exam_mapping_needs_approval,"undefined:[1,2,3,4] undefined:[19,25,26,27] undefined:[1,2,3,4,5] undefined:[6,7,8,9,10,11,12] undefined:[11,12,13] undefined:[1,2,3,4] undefined:[5,6,7,8] undefined:[6,7] undefined:[6,7] undefined:[1,2,3,4,5,6,7] undefined:[8,9,10,11,12,13,14] undefined:[1,2,3] undefined:[4,5,6] undefined:[7,8,9] undefined:[10,11,12] undefined:[1,2,5,7]",NEEDS_REVIEW
2,277031ea-17f5-47ee-b8e4-51e4e9f008b2,Penn State York,PA,exam_mapping_needs_approval,"midterm exam:[1,2,3,4] final exam:[5,6,7,8,9,10,11]",NEEDS_REVIEW
2,2d23ea54-35d6-4f68-8a2b-5c53849a61be,Texas A&M Univ-Texarkana,TX,exam_mapping_needs_approval,"exam 1:[7,8] exam 2:[9,10] exam 3:[11,16] exam 4:[12,13]",COMPLETE
2,34714288-6630-4265-a831-f04fa103fe63,Penn State New Kensington,PA,exam_mapping_needs_approval,"midterm exam:[1,2,3,4] final exam:[5,6,7,8,9,10,11]",NEEDS_REVIEW
2,49ae7dd9-7422-4c18-8994-5f4e946dde02,Penn State Abington,PA,exam_mapping_needs_approval,"midterm exam:[1,2,3,4] final exam:[5,6,7,8,9,10,11]",NEEDS_REVIEW
2,5c4b0a8f-22b8-45f9-b1b7-9be45f9bf85d,Penn State Berks,PA,exam_mapping_needs_approval,"midterm exam:[1,2,3,4] final exam:[5,6,7,8,9,10,11]",NEEDS_REVIEW
2,60e3b6bc-611e-4254-8b7c-7e8b45412159,George Mason University,VA,exam_mapping_needs_approval,"exam 1:[1,14,18] exam 2:[2,3,1] exam 3:[3,6,7,8,9,1,2]",NEEDS_REVIEW
2,6ec0e41d-4faf-4648-aac9-c4bc0b13b58e,Virginia Commonwealth,VA,exam_mapping_needs_approval,"skills test:[1,2,3,4,5]",NEEDS_REVIEW
2,743b800e-466a-4230-bfe2-8dcb86839a0b,George Brown College,ON,exam_mapping_needs_approval,"midterm:[1,2,3,4,5,6]",COMPLETE
2,7b202c04-686d-413f-878f-a2bd3675a1f0,Uof Arkansas at Monticello,AR,exam_mapping_needs_approval,"undefined:[15] undefined:[1,2,3] undefined:[10,11,12]",NEEDS_REVIEW
