campus,national_org,chapter_designation,council,letters
University of Alabama,Sigma Alpha Epsilon,,IFC,ΣΑΕ
University of Alabama,Sigma Alpha Mu,,IFC,ΣΑΜ
University of Alabama,Sigma Chi,,IFC,ΣΧ
University of Alabama,Sigma Nu,,IFC,ΣΝ
University of Alabama,Sigma Phi Epsilon,,IFC,ΣΦΕ
University of Alabama,Sigma Pi,,IFC,ΣΠ
University of Alabama,Sigma Tau Gamma,,IFC,ΣΤΓ
University of Alabama,Tau Kappa Epsilon,,IFC,ΤΚΕ
University of Alabama,Theta Chi,,IFC,ΘΧ
University of Alabama,Theta Xi,,IFC,ΘΞ
University of Alabama,Zeta Beta Tau,,IFC,ΖΒΤ
University of Alabama,Zeta Psi,,IFC,ΖΨ
University of Alabama,Alpha Chi Omega,,Panhellenic,ΑΧΩ
University of Alabama,Alpha Delta Pi,,Panhellenic,ΑΔΠ
University of Alabama,Alpha Gamma Delta,,Panhellenic,ΑΓΔ
University of Alabama,Alpha Omicron Pi,,Panhellenic,ΑΟΠ
University of Alabama,Alpha Phi,,Panhellenic,ΑΦ
University of Alabama,Chi Omega,,Panhellenic,ΧΩ
University of Alabama,Delta Delta Delta,,Panhellenic,ΔΔΔ
University of Alabama,Delta Gamma,,Panhellenic,ΔΓ
University of Alabama,Delta Zeta,,Panhellenic,ΔΖ
University of Alabama,Gamma Phi Beta,,Panhellenic,ΓΦΒ
University of Alabama,Kappa Alpha Theta,,Panhellenic,ΚΑΘ
University of Alabama,Kappa Delta,,Panhellenic,ΚΔ
University of Alabama,Kappa Kappa Gamma,,Panhellenic,ΚΚΓ
University of Alabama,Phi Mu,,Panhellenic,ΦΜ
University of Alabama,Pi Beta Phi,,Panhellenic,ΠΒΦ
University of Alabama,Sigma Delta Tau,,Panhellenic,ΣΔΤ
University of Alabama,Sigma Kappa,,Panhellenic,ΣΚ
University of Alabama,Zeta Tau Alpha,,Panhellenic,ΖΤΑ
University of Alabama,Alpha Phi Alpha,,NPHC,ΑΦΑ
University of Alabama,Alpha Kappa Alpha,,NPHC,ΑΚΑ
University of Alabama,Delta Sigma Theta,,NPHC,ΔΣΘ
University of Alabama,Iota Phi Theta,,NPHC,ΙΦΘ
University of Alabama,Kappa Alpha Psi,,NPHC,ΚΑΨ
University of Alabama,Omega Psi Phi,,NPHC,ΩΨΦ
University of Alabama,Phi Beta Sigma,,NPHC,ΦΒΣ
University of Alabama,Sigma Gamma Rho,,NPHC,ΣΓΡ
University of Alabama,Zeta Phi Beta,,NPHC,ΖΦΒ
University of Alabama,Alpha Delta Chi,,UGC,ΑΔΧ
University of Alabama,Alpha Omega Epsilon,,UGC,ΑΩΕ
University of Alabama,Phi Mu Alpha Sinfonia,,UGC,ΦΜΑ
University of Alabama,Phi Sigma Rho,,UGC,ΦΣΡ
University of Alabama,Sigma Alpha Iota,,UGC,ΣΑΙ
University of Alabama,Alpha Kappa Psi,,UGC,ΑΚΨ
University of Alabama,Delta Sigma Pi,,UGC,ΔΣΠ
University of Alabama,Kappa Kappa Psi,,UGC,ΚΚΨ
University of Alabama,Phi Sigma Pi,,UGC,ΦΣΠ
University of Alabama,Theta Tau,,UGC,ΘΤ
University of Arkansas,Alpha Gamma Rho,,IFC,ΑΓΡ
University of Arkansas,Alpha Tau Omega,,IFC,ΑΤΩ
University of Arkansas,Beta Theta Pi,,IFC,ΒΘΠ
University of Arkansas,Beta Upsilon Chi,,IFC,ΒΥΧ
University of Arkansas,Delta Chi,,IFC,ΔΧ
University of Arkansas,FarmHouse,,IFC,FH
University of Arkansas,Kappa Alpha Order,,IFC,ΚΑ
University of Arkansas,Kappa Sigma,,IFC,ΚΣ
University of Arkansas,Lambda Chi Alpha,,IFC,ΛΧΑ
University of Arkansas,Phi Delta Theta,,IFC,ΦΔΘ
University of Arkansas,Phi Gamma Delta,,IFC,ΦΓΔ
University of Arkansas,Phi Kappa Psi,,IFC,ΦΚΨ
University of Arkansas,Pi Kappa Alpha,,IFC,ΠΚΑ
University of Arkansas,Pi Kappa Phi,,IFC,ΠΚΦ
University of Arkansas,Sigma Alpha Epsilon,,IFC,ΣΑΕ
University of Arkansas,Sigma Chi,,IFC,ΣΧ
University of Arkansas,Sigma Nu,,IFC,ΣΝ
University of Arkansas,Sigma Phi Epsilon,,IFC,ΣΦΕ
University of Arkansas,Sigma Pi,,IFC,ΣΠ
University of Arkansas,Tau Kappa Epsilon,,IFC,ΤΚΕ
University of Arkansas,Theta Chi,,IFC,ΘΧ
University of Arkansas,Alpha Chi Omega,,Panhellenic,ΑΧΩ
University of Arkansas,Alpha Delta Pi,,Panhellenic,ΑΔΠ
University of Arkansas,Alpha Omicron Pi,,Panhellenic,ΑΟΠ
University of Arkansas,Alpha Phi,,Panhellenic,ΑΦ
University of Arkansas,Chi Omega,,Panhellenic,ΧΩ
University of Arkansas,Delta Delta Delta,,Panhellenic,ΔΔΔ
University of Arkansas,Delta Gamma,,Panhellenic,ΔΓ
University of Arkansas,Kappa Delta,,Panhellenic,ΚΔ
University of Arkansas,Kappa Kappa Gamma,,Panhellenic,ΚΚΓ
University of Arkansas,Phi Mu,,Panhellenic,ΦΜ
University of Arkansas,Pi Beta Phi,,Panhellenic,ΠΒΦ
University of Arkansas,Zeta Tau Alpha,,Panhellenic,ΖΤΑ
University of Arkansas,Alpha Phi Alpha,,NPHC,ΑΦΑ
University of Arkansas,Alpha Kappa Alpha,,NPHC,ΑΚΑ
University of Arkansas,Delta Sigma Theta,,NPHC,ΔΣΘ
University of Arkansas,Iota Phi Theta,,NPHC,ΙΦΘ
University of Arkansas,Kappa Alpha Psi,,NPHC,ΚΑΨ
University of Arkansas,Omega Psi Phi,,NPHC,ΩΨΦ
University of Arkansas,Phi Beta Sigma,,NPHC,ΦΒΣ
University of Arkansas,Sigma Gamma Rho,,NPHC,ΣΓΡ
University of Arkansas,Zeta Phi Beta,,NPHC,ΖΦΒ
University of Arkansas,Alpha Kappa Delta Phi,,MGC,ΑΚΔΦ
University of Arkansas,Lambda Theta Alpha,,MGC,ΛΘΑ
University of Arkansas,Lambda Theta Phi,,MGC,ΛΘΦ
University of Arkansas,Omega Delta Phi,,MGC,ΩΔΦ
University of Arkansas,Sigma Lambda Gamma,,MGC,ΣΛΓ
University of Florida,Alpha Epsilon Pi,,IFC,ΑΕΠ
University of Florida,Alpha Gamma Rho,,IFC,ΑΓΡ
University of Florida,Alpha Tau Omega,,IFC,ΑΤΩ
University of Florida,Beta Theta Pi,,IFC,ΒΘΠ
University of Florida,Beta Upsilon Chi,,IFC,ΒΥΧ
University of Florida,Chi Phi,,IFC,ΧΦ
University of Florida,Delta Chi,,IFC,ΔΧ
University of Florida,Delta Sigma Phi,,IFC,ΔΣΦ
University of Florida,Delta Tau Delta,,IFC,ΔΤΔ
University of Florida,Kappa Alpha Order,,IFC,ΚΑ
University of Florida,Kappa Sigma,,IFC,ΚΣ
University of Florida,Lambda Chi Alpha,,IFC,ΛΧΑ
University of Florida,Phi Delta Theta,,IFC,ΦΔΘ
University of Florida,Phi Gamma Delta,,IFC,ΦΓΔ
University of Florida,Phi Kappa Tau,,IFC,ΦΚΤ
University of Florida,Pi Kappa Alpha,,IFC,ΠΚΑ
University of Florida,Pi Kappa Phi,,IFC,ΠΚΦ
University of Florida,Sigma Alpha Epsilon,,IFC,ΣΑΕ
University of Florida,Sigma Alpha Mu,,IFC,ΣΑΜ
University of Florida,Sigma Chi,,IFC,ΣΧ
University of Florida,Sigma Nu,,IFC,ΣΝ
University of Florida,Sigma Phi Epsilon,,IFC,ΣΦΕ
University of Florida,Tau Epsilon Phi,,IFC,ΤΕΦ
University of Florida,Theta Chi,,IFC,ΘΧ
University of Florida,Theta Xi,,IFC,ΘΞ
University of Florida,Zeta Beta Tau,,IFC,ΖΒΤ
University of Florida,Alpha Chi Omega,,Panhellenic,ΑΧΩ
University of Florida,Alpha Delta Pi,,Panhellenic,ΑΔΠ
University of Florida,Alpha Epsilon Phi,,Panhellenic,ΑΕΦ
University of Florida,Alpha Omicron Pi,,Panhellenic,ΑΟΠ
University of Florida,Chi Omega,,Panhellenic,ΧΩ
University of Florida,Delta Delta Delta,,Panhellenic,ΔΔΔ
University of Florida,Delta Gamma,,Panhellenic,ΔΓ
University of Florida,Delta Phi Epsilon,,Panhellenic,ΔΦΕ
University of Florida,Delta Zeta,,Panhellenic,ΔΖ
University of Florida,Gamma Phi Beta,,Panhellenic,ΓΦΒ
University of Florida,Kappa Alpha Theta,,Panhellenic,ΚΑΘ
University of Florida,Kappa Delta,,Panhellenic,ΚΔ
University of Florida,Kappa Kappa Gamma,,Panhellenic,ΚΚΓ
University of Florida,Phi Mu,,Panhellenic,ΦΜ
University of Florida,Pi Beta Phi,,Panhellenic,ΠΒΦ
University of Florida,Sigma Delta Tau,,Panhellenic,ΣΔΤ
University of Florida,Sigma Kappa,,Panhellenic,ΣΚ
University of Florida,Zeta Tau Alpha,,Panhellenic,ΖΤΑ
University of Florida,Alpha Phi Alpha,,NPHC,ΑΦΑ
University of Florida,Alpha Kappa Alpha,,NPHC,ΑΚΑ
University of Florida,Delta Sigma Theta,,NPHC,ΔΣΘ
University of Florida,Kappa Alpha Psi,,NPHC,ΚΑΨ
University of Florida,Omega Psi Phi,,NPHC,ΩΨΦ
University of Florida,Phi Beta Sigma,,NPHC,ΦΒΣ
University of Florida,Sigma Gamma Rho,,NPHC,ΣΓΡ
University of Florida,Zeta Phi Beta,,NPHC,ΖΦΒ
University of Florida,Alpha Kappa Delta Phi,,MGC,ΑΚΔΦ
University of Florida,Delta Phi Omega,,MGC,ΔΦΩ
University of Florida,Kappa Phi Lambda,,MGC,ΚΦΛ
University of Florida,Lambda Theta Alpha,,MGC,ΛΘΑ
University of Florida,Lambda Theta Phi,,MGC,ΛΘΦ
University of Florida,Sigma Beta Rho,,MGC,ΣΒΡ
University of Florida,Sigma Lambda Beta,,MGC,ΣΛΒ
University of Florida,Sigma Lambda Gamma,,MGC,ΣΛΓ
University of Florida,Theta Nu Xi,,MGC,ΘΝΞ
University of Florida,Lambda Delta Psi,,MGC,ΛΔΨ
University of Georgia,Alpha Epsilon Pi,,IFC,ΑΕΠ
University of Georgia,Alpha Gamma Rho,,IFC,ΑΓΡ
University of Georgia,Alpha Sigma Phi,,IFC,ΑΣΦ
University of Georgia,Alpha Tau Omega,,IFC,ΑΤΩ
University of Georgia,Beta Theta Pi,,IFC,ΒΘΠ
University of Georgia,Beta Upsilon Chi,,IFC,ΒΥΧ
University of Georgia,Chi Phi,,IFC,ΧΦ
University of Georgia,Chi Psi,,IFC,ΧΨ
University of Georgia,Delta Kappa Epsilon,,IFC,ΔΚΕ
University of Georgia,Delta Sigma Phi,,IFC,ΔΣΦ
University of Georgia,Delta Tau Delta,,IFC,ΔΤΔ
University of Georgia,Kappa Alpha Order,,IFC,ΚΑ
University of Georgia,Kappa Sigma,,IFC,ΚΣ
University of Georgia,Lambda Chi Alpha,,IFC,ΛΧΑ
University of Georgia,Phi Delta Theta,,IFC,ΦΔΘ
University of Georgia,Phi Gamma Delta,,IFC,ΦΓΔ
University of Georgia,Phi Kappa Tau,,IFC,ΦΚΤ
University of Georgia,Phi Kappa Theta,,IFC,
University of Georgia,Pi Kappa Alpha,,IFC,ΠΚΑ
University of Georgia,Pi Kappa Phi,,IFC,ΠΚΦ
University of Georgia,Sigma Alpha Epsilon,,IFC,ΣΑΕ
University of Georgia,Sigma Chi,,IFC,ΣΧ
University of Georgia,Sigma Nu,,IFC,ΣΝ
University of Georgia,Sigma Phi Epsilon,,IFC,ΣΦΕ
University of Georgia,Sigma Pi,,IFC,ΣΠ
University of Georgia,Tau Epsilon Phi,,IFC,ΤΕΦ
University of Georgia,Theta Chi,,IFC,ΘΧ
University of Georgia,Zeta Beta Tau,,IFC,ΖΒΤ
University of Georgia,Delta Epsilon Psi,,MGC,ΔΕΨ
University of Georgia,Lambda Phi Epsilon,,MGC,ΛΦΕ
University of Georgia,Lambda Theta Phi,,MGC,ΛΘΦ
University of Georgia,Lambda Upsilon Lambda,,MGC,ΛΥΛ
University of Georgia,Pi Kappa Psi,,MGC,ΠΚΨ
University of Georgia,Xi Kappa,,MGC,ΞΚ
University of Georgia,Alpha Kappa Delta Phi,,MGC,ΑΚΔΦ
University of Georgia,Kappa Phi Gamma,,MGC,ΚΦΓ
University of Georgia,Lambda Theta Alpha,,MGC,ΛΘΑ
