campus,national_org,chapter_designation,council,letters
Vanderbilt University,Kappa Alpha Order,,IFC,ΚΑ
Vanderbilt University,Kappa Sigma,,IFC,ΚΣ
Vanderbilt University,Lambda Chi Alpha,,IFC,ΛΧΑ
Vanderbilt University,Phi Delta Theta,,IFC,ΦΔΘ
Vanderbilt University,Phi Gamma Delta,,IFC,ΦΓΔ
Vanderbilt University,Pi Kappa Alpha,,IFC,ΠΚΑ
Vanderbilt University,Sigma Alpha Epsilon,,IFC,ΣΑΕ
Vanderbilt University,Sigma Chi,,IFC,ΣΧ
Vanderbilt University,Zeta Beta Tau,,IFC,ΖΒΤ
Vanderbilt University,Alpha Chi Omega,,Panhellenic,ΑΧΩ
Vanderbilt University,Alpha Delta Pi,,Panhellenic,ΑΔΠ
Vanderbilt University,Alpha Omicron Pi,,Panhellenic,ΑΟΠ
Vanderbilt University,Alpha Phi,,Panhellenic,ΑΦ
Vanderbilt University,Chi Omega,,Panhellenic,ΧΩ
Vanderbilt University,Delta Delta Delta,,Panhellenic,ΔΔΔ
Vanderbilt University,Kappa Alpha Theta,,Panhellenic,ΚΑΘ
Vanderbilt University,Kappa Delta,,Panhellenic,ΚΔ
Vanderbilt University,Kappa Kappa Gamma,,Panhellenic,ΚΚΓ
Vanderbilt University,Pi Beta Phi,,Panhellenic,ΠΒΦ
Vanderbilt University,Zeta Tau Alpha,,Panhellenic,ΖΤΑ
Vanderbilt University,Alpha Phi Alpha,,NPHC,ΑΦΑ
Vanderbilt University,Alpha Kappa Alpha,,NPHC,ΑΚΑ
Vanderbilt University,Delta Sigma Theta,,NPHC,ΔΣΘ
Vanderbilt University,Iota Phi Theta,,NPHC,ΙΦΘ
Vanderbilt University,Kappa Alpha Psi,,NPHC,ΚΑΨ
Vanderbilt University,Omega Psi Phi,,NPHC,ΩΨΦ
Vanderbilt University,Phi Beta Sigma,,NPHC,ΦΒΣ
Vanderbilt University,Sigma Gamma Rho,,NPHC,ΣΓΡ
Vanderbilt University,Zeta Phi Beta,,NPHC,ΖΦΒ
Vanderbilt University,Lambda Theta Alpha,,IGC,ΛΘΑ
Vanderbilt University,Lambda Theta Phi,,IGC,ΛΘΦ
Vanderbilt University,Sigma Lambda Gamma,,IGC,ΣΛΓ
Vanderbilt University,Kappa Delta Chi,,IGC,ΚΔΧ
